Document	Auditor	Composite	Content	Structural	Visual
powerpoint-slides-ff0a	FLAG	91%	100%	100%	75%
powerpoint-slides-ff0c	APPROVE	91%	100%	100%	75%
powerpoint-slides-ff0d	REJECT	40%	71%	100%	75%
scanned-from-paper-many-pages-of-tables-6878	REJECT	40%	59%	9%	50%
scio-physical-and-environmental-protection-686b1b84	APPROVE	90%	94%	73%	100%
screenshot-images-11b5	FLAG	91%	100%	100%	75%
seal-image-table-6870	APPROVE	100%	100%	100%	100%
seal-imagery-11ab	REJECT	40%	42%	73%	
seal-imagery-table-with-shading-132c	APPROVE	86%	100%	55%	100%
seal-imagery-table-with-shading-colored-text-672b	FAILED				
smac-lidar-apr-10-2024-6860db7b	FLAG	91%	99%	100%	75%
standards-committee-meeting-agenda-packet-october-7-2021-685fa26e	FLAG	56%	88%	55%	25%
table-seal-imagery-diagram-1468	FLAG	80%	94%	100%	50%
tables-screenshots-photos-background-colors-59df	REJECT	40%	59%	100%	75%
text-background-colors-53e2	APPROVE	100%	99%	100%	100%
text-some-colored-text-3638	APPROVE	93%	100%	77%	100%
wearencgov-broadbandinitiatives-685fc6d1	FLAG	63%	88%	50%	50%
wearencgov-presentation3-685fc6b2	REJECT	0%			
